standard_text,dialect_text,dialect
আমার বাংলা সিনেমা দেখতে ভালো লাগে,আমার বাংলা সিনেমা দেকতে ভালা লাগে,Sylhet
তোমাকে আমি ধন্যবাদ জানাতে চাই,তোমারে মুই ধন্যবাদ জানাতে চাই,Sylhet
তোমার ছোট ভাইয়ের জন্মদিন কবে?,তোমাকে ছোট ভাইয়র জন্মদিন খবে?,Sylhet
তুমি কি আমাকে একটি ছবি তুলে দিতে পারবে,তুমি কিতা আমারে একটা ছবি তুলিয়া দিতা পারবায় নি,Sylhet
তোমার সাথে আমার আম্মু কথা বলতে চায়,তোমার লহে আমার আম্মা মাত তে চায়,Sylhet
তোমার কাছে আমি একটি পরামর্শ চাই,তোমার কাছে আমি একটা পরামর্শ চাইরাম,Sylhet
আপনি কি আমাকে একটি গান গেয়ে শুনাতে পারবেন ?,আফনে কিতা আমারে একটা গান হুনাতে পারবানি? ,Sylhet
তুমি কি তোমার ভুল বুঝতে পেরেছ ?,তুমি কিতা তোমার ভুল বুঝতর ফারছোনি?,Sylhet
তুমি কি আমার জন্য একটি গান লিখে দিতে পারবে?,তুমি কিতা আমার লাগি একটা গান লিখিয়া দিতা ফারবানি?,Sylhet
আমার প্রতিদিন খেলাধুলা করতে ভালো লাগে,আমার প্রতিদিন খেলাধুলা করতে ভালা লাগে,Sylhet
আমার বন্ধুরা সকাল বেলা  ফুটবল খেলতে মাঠে যায়,আমার বন্ধুইন্তে সকালে ফুটবল খেলাত মাঠো যাইন,Sylhet
তোমার বয়স কত?,থোমার বয়স কত?,Sylhet
আমি অনেক বড় ভুল করে ফেলেছি,আমি বহুত বড় ভুল করছি,Sylhet
চাঁদের আলো দেখতে আমার খুব ভালো লাগে,চান্দোর আলো দেখতে আমার ভালা লাগে,Sylhet
তুমি কি সকালে উঠে চা খাবে ?,থুমি কিতা সকালে উঠিয়া চা খাইবায় নি?,Sylhet
আপনি একটু এইদিকে আসতে পারবেন ?,আফনে থুরা ওদিকে আইতা ফারবা নি?,Sylhet
তোর পরিক্ষা কবে ?,থোর ফরিক্ষা কোন সময়ে?,Sylhet
আমাকে বিকালে খেলার মাঠে যেতে হবে,আমার বিকালে খেলার মাঠো যাইতে অইবো,Sylhet
কিছু মানুষ অনেক স্বার্থপর হয়,থুরা মানুষ বহুত স্বাথপর অইন,Sylhet
আমি একজন ভালো মানুষ হতে চাই,মুই একটা ভালা মানুষ অইতাম চাই,Sylhet
আমার পরিবার তোমাকে কোনদিনও মেনে নেবে না,আমার গুষ্টি -এ থোমারে মানতা না,Sylhet
আপনাকে  ছাড়া আমার বান্ধুবি ভালো নেই,আপ্নারে ছাড়া আমার বান্ধবী ভালা নায়,Sylhet
মেয়েটির রাগ অনেক বেশী,ফুরি ইগুর চ্যাত বেশি,Sylhet
আপনি কি চান আমি এখান থেকে চলে যাই ?,আফনে চাইন নি আমি ইন তাকি যাই গি?,Sylhet
আপনি  কি এই বিয়েতে রাজি হয়েছেন ?,আফনে এই বিয়াত রাজি নি?,Sylhet
আমার আব্বুর মাথা গরম থাকে,আমার আব্বার মাথা গরম থাকে,Sylhet
আমার বড় ভাই একজন বদমেজাজি লোক,আমার বড় ভাই এইন রাগি মানুষ,Sylhet
যেই মেয়ে বেশী কথা বলে তাকে আমার পছন্দ না,যে ফুড়িয়ে বেশি মাতে ইগুরে আমার ফছন্দ না,Sylhet
ছেলেটি অনেক  বেশী কথা বলো,ফুয়া ইগুয়ে বেশি মাতে,Sylhet
আপনি আজ সকালে চা খান  নাই,আফনে আজকে চা খাওছইন নি?,Sylhet
আজ সকালে আমি এবং আমার বন্ধুরা ফুটবল খেলতে মাঠে গিয়েছি,আজকে সকালে আমি আর আমার বন্ধুইন্তে ফুটবল খেলাত গেসলাম মাঠো,Sylhet
আমি আমার আম্মুর  সব কথা খুবই মনোযোগ দিয়ে শুনি,আমি আমার আম্মার হক্কল কথা ধুন দরিয়া হুনি,Sylhet
আমার বান্ধুবির একটি ছোট বিড়াল আছে,আমার বান্ধুবির ছোট এখটা বিলাই আছে,Sylhet
লোকটি তার বউয়ের গায়ে  হাত তুলে,বেটায় তার বউর গাত হাত তুলছে,Sylhet
তোমার কি লোক দেখানো শেষ?,তোমার কিতা মানুষ দেখানি শেষ নি?,Sylhet
আমার বউ  আমাকে কোনদিনও খোঁচা মেরে কথা বলেনি,আমার বউয়ে আমারে কোনদিন খুছাইয়া মাতছে না,Sylhet
তুমি একজন  ভালো মেয়ে মানুষ,তুমি একটা ভালা ফুড়ি,Sylhet
তোমাকে জোর  করে বিয়ে দেয়া হয়েছিল,তোমারে জোড় করিয়া বিয়া দেওয়া অইছিল,Sylhet
তিনি  দুইবেলা ভাত খেতে পারেন না,তাইন দুই বেলা ভাত খাইতা ফারইন না,Sylhet
তোমার পাশে  থাকলে আমি কল্পনার চেয়েও বেশি সুখী থাকি,তুমি খান্দাত থাকলে স্বপ্নের থাকি বেশি সুখি থাকি,Sylhet
আম্মু আজকে খাবারে লবণ কম দিয়েছে,আম্মোয়ে খানিত লবণ কম দিছইন,Sylhet
আমার আম্মু সব সময় বেশ হাসি খুশি থাকে,আমার আম্মু সবসময় ফুরতিত থাকইন,Sylhet
তোমার জন্য এত কিছু করেও কোন লাভ হলো না,তোমার লাগি অতোতা করিয়া লাভ নাই,Sylhet
আপনি আমাকে আর কত অবাক করবেন?,আফনে আমারে আর কত অবাক করতা?,Sylhet
আপনি একটু কম চাপাবাজি করেন,আফনে একটু কম ছাপা মারওক্কা,Sylhet
আজকে আমার ছোট বোন রান্না করেছে,আজকে আমা ছোট বইনে রান্দিছে,Sylhet
খাবারে লবণ একটু বেশী হয়ে গেসে,খানিত লবণ বহুত বেশি অইগেছে,Sylhet
খাবারে লবণ কম হলে আরো ভালো লাগতো,খানিত লবণ কম অইলে ভালা অইতো,Sylhet
আজকে আমি বাহিরে যাবোই,আজকে আমি বাইরে যাইমো,Sylhet
আপনি একা একা বাহিরে ঘুরতে যান,আফনে এখলা এখলা বাইরে ঘুরায় যাইন,Sylhet
আমি খুব  জোস মেকআপ করি,আমি খুব ভালা সাজাই,Sylhet
তুমি একদমই না বুঝে বেশী কথা বলো,তুমি ফুরা না বুজিয়া মাতো,Sylhet
"আপনাকে কিছু বলা লাগে না , আপনি এমনিতেই আমার মনের কথা বুঝে যান","আফনারে কুন্তা কওয়া লাগে না, আফনে এমনই আমার হক্কলতা বুজুইন",Sylhet
তোমার চোখ থাকে অন্য মেয়েদের দিকে,তোমার চোখ থাকে অন্য ফুরিন্তর বায়,Sylhet
তোমার বিবাহিত জীবন সুখের হোক,তোমার বিয়ার জীবন সুখর অইক,Sylhet
আমাদের বাসার দারওয়ান রাতে মদ খায়,তোমার চকিদারে রাত্রে মদ খায়,Sylhet
আমার স্বামী রাতে বন্ধুদের সাথে আড্ডা দেয়,আমার জামাইয়ে রাত্রে বন্ধুইন্তর লগে আড্ডা মারইন,Sylhet
আমি আর আমার আব্বু বিয়ে বাড়িতে যাচ্ছি,আমি আর আম্মু বিয়া বাড়িত যাইয়ার,Sylhet
তুমি আমার  কাছে ধরা পড়ার পরেও পরকীয়া করার কথা স্বীকার করছ না,তুমি আমার কাছে দরা পড়িয়াও অন্য ফুরির পিছে পরকীয়াত সিকার কররায় না,Sylhet
একটা বিবাহিত মহিলা রাস্তা দিয়ে হেতে যাচ্ছে,এখটা বিয়াতি বেটি রাস্তা বায় হাটিয়া যার,Sylhet
আমার আম্মু আমার পড়াশোনার খরচ দিতে চায় না,আমার আম্মায় আমার পড়ার খরচ দিতা চাইরা না,Sylhet
আমার মা অনেক কষ্ট করে আমাদের বড় করেছেন,আমার আম্মু এ আমরারে বহুত কষ্ট করিয়া বড় করছইন,Sylhet
তোমার ছোট ভাই  আগে নেশায় আসক্ত ছিল,তোমার ছুট ভাই ইগুয়ে আগে নেশা করতো,Sylhet
ছেলেটি সারাদিন বাহিরে বাহিরে থাকে,বেটা ইগু আস্তাদিন বাইরে বাইরে থাকে,Sylhet
আমার ফুফু চাচারাও আমাকে অনেক ভালবাসে,আমার ফুফু চাচায় আমারে বহুত ভালা ফাইন,Sylhet
আমার আম্মু আগের তুলনায় এখন অনেক ভালো আছেন,আমার আম্মু আগের তাকি বহুত ভাকা আছইন,Sylhet
আমি আর আমার ছোট বোন আজকে  খালামুনির বাসায় ঘুরতে যাবো,আমি আর আমার ছুট বইন আজকে খালাম্মার বাসাত ঘুরাত যাইরাম,Sylhet
আমার বড় বোন এতো সকালে ঘুম থেকে উঠতে পারে না,আমার বড় বইন অতো সখাল ঘুম তাকি উত্তে পারে না,Sylhet
আমার বড় বোন প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না,আমার বড় বইন অতো অলস এখটা কাম করতে পারে না,Sylhet
আপনার সাথে আমার একটা জরুরি কথা আছে,আফনার লগে দরখারি খতা আছে,Sylhet
সকালে তাড়াতাড়ি উঠে বাহিরে একটু হেঁটে আসা খুব উপকারী,সকালে একটু তাড়াতাড়ি উঠিয়া বাইরে হাটা খুব দরখারী,Sylhet
তুমি কি আমটি খেয়েছিলে ?,তুমি কিতা আম খাইছলায় নি?,Sylhet
বাগানের মধ্যে গিয়ে আমার ছোট ভাই দৌড়াল,বাগানোর মাঝখানো আমার ছুট ভাইয়ে দৌড়ার,Sylhet
আপনি ফুটবল খেলায় হেরে গেলেন,আফনে ফুটবল খেলাত আরি গেসইন,Sylhet
তুমি ক্রিকেট খেলায় জিতলে,তুমি ক্রিকেট খেলাত জিতছো,Sylhet
তুই এখান থেকে যা,তুই ইন তাকি যা,Sylhet
আপনি আমাকে দয়া করে  বিশ্বাস করেন,আফনে আমারে দয়া করিয়া বিশ্বাস করওক্কা,Sylhet
ছোট শিশুটি  অসুস্থ হয়ে পরেছে,ছুট বাইচ্চা অসুখ অইগেসে,Sylhet
তুমি কি আমার জন্য অপেক্ষা করতে পারবে ?,তুমি কিতা আমার লাগি বার চাইতায় ফারবায়,Sylhet
তুমি আমার কাছে  ক্ষমা চাও,তুমি আমার কাছে মাফ চাও,Sylhet
আমি বিকালে একটু ঘুমিয়ে নিলাম,আমি বিকালে ঘুমাই গেছলাম,Sylhet
আমার আব্বু বড় ভাইয়ের উপর রেগে গেছিলেন,আমার আব্বুয়ে বড় ভাইয়র উফরে রাগ করছইন,Sylhet
তোমার কথা শুনে আমি খুব অবাক হয়ে গেছিলাম,তোমার কথা হুনিয়া খুব অবাক অইছলাম,Sylhet
তোমার কি মাথা ব্যাথা করছে ?,তোমার কিতা মাথাত বেদনা করের নি?,Sylhet
আমার হাত  খরচের টাকা আমার আব্বু দেয়,আমার হাত খরচ আমার আব্বুয়ে দেইন,Sylhet
আমার বোন ইদানীং অনেক খারাপ আচরন করে,আমার বইনে ইদানীং খারাফ আচরণ করের,Sylhet
আমি যেই ছেলেকে পছন্দ করি সে আমার পরিবারের কাউকে সম্মান করেনা,আমি যে ফুয়ারে ভালা ফাই ইগুয়ে আমার ফেমিলিরে সম্মান দেয় না,Sylhet
মেয়েটি তাকে বিয়ে করবে না বলে দিয়েছে ,ফুরি ইগুয়এ বিয়া করতো না কই দিছে,Sylhet
বাড়ি থেকে বিয়ের জন্য আমার জন্য মেয়ে  দেখা শুরু করলো,বাড়িত আমার বিয়ার লাগি  ফুরি দেখা অর,Sylhet
আমার বিয়ে তোমার ছোট বোনের সাথে ঠিক হয়েছে,আমার বিয়া তোমার ছুট বইনর লগে ঠিক অইছে,Sylhet
ছেলেটি আরও দুই  বছর পরে বিয়ে করতে চায় ,ফুয়া ইগুয়ে দুই বছর পরে বিয়া করতো চায়,Sylhet
বাবা আমাদের সমস্ত সম্পত্তি বিক্রি করে আমাদের নিয়ে গ্রামের বাড়িতে চলে আসছে,আব্বুয়ে হক্কলতা বেছিয়া গ্রামোর বাড়িত লইয়া আচ্চুইন,Sylhet
আমি  সবাইকে বুঝিয়ে বুঝিয়ে ক্লান্ত যে আমার আম্মু  এরকম কিছু করে  নাই,আমি হক্কলরে বুজাইয়া হেরান যে আম্মুয়ে কোন্তা করছইন না,Sylhet
তাদের পারিবারিক ভাবেই বিয়ে হয়েছে,তারার ফেমিলিগত ভাবে বিয়া অইছে,Sylhet
তাদের প্রেম করে বিয়ে হয়েছিল,তারার ফ্রেম করিয়া বিয়া অইছিল,Sylhet
আমার শাশুড়ি অনেক ভালো রান্না করে,আমার শাশুড়ী এ বহুত ভালা রান্দইন,Sylhet
বাবা অশিক্ষিত একটা ছেলের সাথে আমার বিয়ে  দিতে চেয়েছিল,আব্বুয়ে বখলম ফুয়ার লগে বিয়া দিতা চাইছলা,Sylhet
আব্বু মান সন্মানের ভয়ে মামলা করেননি,আব্বুয়ে সম্মানোর লাগি মামলা করছইন না,Sylhet
ছেলেটি চাচার ভয়ে তার বাবাকে সত্যি কথা বলতে পারেনি,ফুয়ায় চাচার লাগি তার বাফরে সত্য কথা কইতে পারছে না,Sylhet
আমি তখন খুব ছোট যখন আমার মা মারা গিয়েছিল,আমি যখন খুব ছোট আসলাম যখন আমার আম্মু মরছিলা,Sylhet
গ্রামের থেকে আসা ছেলেটি এখন ঢাকায় পড়াশুনা করছে,গ্রাম থাকি আওয়া ফুয়া ইগু এখন ঢাকাত পড়ে,Sylhet
আমার সাথে তার পরিচয় হয়েছে স্কুলে গিয়ে,আমার লগে তার ফরিচয় অইছে তার ইস্কলো গিয়া,Sylhet
আমাকে দয়া করে পরামর্শ দিন আমি এখন কি করতে পারি,আমারে দয়া খরিয়া ফয়সালা দেওক্কা আমি কিতা করতে পারি,Sylhet
আমার বাহিরে ঘুরতে যাওয়ার কোন  ইচ্ছা ছিল না,আমার বাইরে ঘুরার কোন ইচ্চা আসিল না,Sylhet
ছেলেটা সিগারেট পর্যন্ত খায় না,ফুয়া ইগু সিগারেট খায় না,Sylhet
প্রথমদিকে আপনাকে আমি এত  ভালোবাসতাম না,ফতম দিকে আফনারে আমি ভালা ফাইতাম না,Sylhet
ছেলেটি সপ্তাহখানেক আগে  আমাদের সাথে দেখা করেছে,ফুয়া ইগুর ৭ দিন আগে দেখা অইছিল,Sylhet
ওই মেয়েকে যেভাবেই হোক  খুঁজে বের করতে হবে,অউ ফুরি ইগুরে যেলা অউক তুকাইয়া বার করতে অইবো,Sylhet
ছেলেটির ঘটনা শুনে আমরা তাকে সাহায্য করি,ফুয়া ইগুর হক্কলতা হুনিয়া আমার তারে সাহায্য করছি,Sylhet
ছেলেটি তার পরিবারসহ  ঈদের আগের দিন আমাদের সাথে দেখা করতে আসে,ফুয়া ইগুয়ে তার ফেমিলিসহ ঈদের আগের দিন আমরার লগে দেখা করাত আইছিল,Sylhet
মেয়েটি বাংলাদেশে এসে তার পছন্দের ছেলের সাথে  বিয়ে ঠিক করেছে,ফুড়িটা বাংলাদেশো আইয়া তার ফছন্দর ফুয়ার লগে বিয়া ঠিক করছইন,Sylhet
আমাদের এলাকায় কেরোসিন তেলের দাম বেড়ে গেছে,আমাদের এলাকায় কেরোসিন তেলের দাম বাড়ি গেছে,Sylhet
আমার প্রতিদিন পেয়ারা খেতে খুব ভালো লাগে,আমার প্রতিদিন সফরি খাইতে খুব ভালা লাগে,Sylhet
পেয়ারা আমার প্রিয় ফল,সফরি আমার প্রিয় ফল,Sylhet
আমার আব্বু প্রতিদিন নারিকেল পানি পান করে,আমার আব্বু প্রতিদিন নাইকলের ফানি ফান করইন,Sylhet
আমার দাদার বাড়ীর পিছনে একটি পেয়ারা গাছ আছে,আমার দাদার বাড়ীর ফিছনে একটা সফরি গাছ আছে,Sylhet
আম্মু রান্নাঘরে বসে মোরগের মাংস রান্না করছে,আম্মা রান্নাঘরো বইয়া মোরগির মাংস রান্না কররা,Sylhet
গ্রামের মানুষরা মাটির পাতিলে রান্না করে,গ্রামের মানুষরা মাটির ফাতিলো রান্দা করইন,Sylhet
আমার ছোট ভাই  শিমের তরকারী দিয়ে ভাত খেতে খুব ভালবাসে,আমার ছোট ভাই উরি তরকারি দিয়া ভাত খাইতে ভালাফায়,Sylhet
এই শিশুটি পাকা পেঁপে খাচ্ছে,এই শিশুটা পাকা কইফল খাইরা,Sylhet
আব্বু গ্রাম থেকে আসার সময় অনেক বড় বড় জাম্বুরা কিনে এনেছে,আব্বা গেরাম থাকি আওয়ার সময় বহুত বড় বড় জাম্বুরা কিনিয়া আনছইন,Sylhet
আমার আম্মু জামরুল খাচ্ছে,আমার আম্মা জামির খাইরা,Sylhet
আমার ছোট ভাই বিকালে ছাদে উঠে পাশের বাসার ছাদের কবুতর দেখে,আমার ছোট ভাই বিকালে ছাদে পাশের বাসার ছাদের কবুতর দেখইন,Sylhet
আমাদের গ্রামের বাড়িতে অনেক গুলা  মুরগির বাচ্চা আছে,আমাদের গেরামের বাড়িতে বহুত  মুরগির বাচ্চা আছে,Sylhet
শিশুটি একটি মুরগির বাচ্চা কলে নিয়েছে,শিশুটা একটা মুরগীর বাচ্চা কোলো নিছইন,Sylhet
আমার ছোট বোন খুবই  বোকা,আমার ছোট বোইন খুবই বোকা,Sylhet
গ্রামের বারি গিয়ে আমি একা একা  সাঁতার  কেটেছি,গেরামের বারি গিয়া মুই একা একা হাতার কেটেছি,Sylhet
"আমার আব্বু , আম্মু , ভাই, বোন ড্রয়িংরুমে বসে আছে","আমার আব্বা,  আম্মা,  ভাই, বোন ড্রয়িংরুমে বইয়া আছে",Sylhet
আমাদের ঘরের স্টোররুমটি অনেক বড়,আমাদের ঘরের স্টোররুমটা বহুত বড়,Sylhet
শিশুটি একটি বিড়াল ছানাকে আদর করছে,শিশুটা একটা বিড়াল ছানাকে আদর করছে,Sylhet
লাকড়ির চুলায় রান্না করা খাবার খুব মজা,লাকড়ির চুলায় রান্না করা খাবার বহুত মজা,Sylhet
আমার বড় ভাই বেগুন তরকারির ঝোল দিয়ে দুপুরে ভাত খেয়েছে,আমার বড় ভাই বেগুন তরকারির ঝোল দিয়া  দুপুরে ভাত খাইছে,Sylhet
আমার আব্বু লাউ দিয়ে চিংড়ি মাছের ঝোল  খুব পছন্দ করে,আমার আব্বা লাউ দিয়া ইচা মাছর ঝোল  কুব ফছন্দ করুইন,Sylhet
আমার শীতের দিনে গোসল করতে ভালো লাগে না,আমার শীতর দিনে গোসল করতে ভালা লাগে না,Sylhet
আমার বোন গ্রামের বাড়ীতে গিয়ে পুকুরে গোসল করে,আমার বোন গেরামের বাড়ীতে গিয়া ফুসকনিতে গোসল করইন,Sylhet
আমার আম্মু বলে যে তেঁতুল  খেলে  আমার বুদ্ধি কমে যাবে,আমার আম্মা কইরা যে তেতুল খাইয়া আমার বুদ্ধি কমি যাইবো,Sylhet
আমার আব্বু বাজার থেকে আমাদের জন্য তেঁতুল কিনে এনেছে,আমার আব্বা বাজার থাকি আমাদের লাগি তেতুল কিনিয়া আনছইন,Sylhet
আমার গ্রামের বাড়ীর উঠান অনেক বড়,আমার গেরামের বাড়ীর উঠান অনেক বড়,Sylhet
এই শিশুটি গ্রামের বাড়ীর উঠানে খেলছে,এই শিশুটা গেরামের বাড়ীর উঠানো খেলরা,Sylhet
ছোট বাচ্চাটি অনেক অসুস্থ,ছোট বাচ্চাটা বহুত অসুক,Sylhet
একটি আহত শিশুটি রাস্তায় দাঁড়িয়ে কাঁদছে,একটা আহত শিশুটা রাস্তায় দাড়িনিত কান্দের,Sylhet
আমার ছোট বোনকে আজকে সকালে হাসপাতালে নেয়া হয়েছে,আমার ছোট বোইনকে আইজকে সকালে হাসপাতালে নেওয়া হয়েছে,Sylhet
আব্বু বলেছে বৃষ্টি হলে বারান্দার গাছে পানি দেওয়ার প্রয়োজন নাই,আব্বা বলেছে বৃষ্টি অইলে বারান্দাত গাছে ফানি দেওয়ার প্রয়োজন নাই ,Sylhet
আমার আম্মু বৃষ্টি হলেও বারান্দার গাছে পানি দেয়,আমার আম্মা বৃষ্টি অইলেও বারান্দাত গাছো ফানি দিছইন,Sylhet
আব্বু বলেছে গাছে অতিরিক্ত পানি দিলে গাছ মারা যায়,আব্বা কইছইন গাছো অতিরিক্ত ফানি দিলে গাছ মরি যাইবো,Sylhet
গতকাল বিকালে আমাদের এখানে অনেক বৃষ্টি হয়েছে,গতকাইল বিকালে আমাদের এখানে বহুত বৃষ্টি অইছে,Sylhet
আমার আম্মু আজক শশার তরকারি রান্না করেছে,আমার আম্মা আইজ কে শশার তরকারি রান্দা করছইন,Sylhet
গরমের দিনে লবণ দিয়ে  শশা খেতে খুব ভালো লাগে,গরমের দিনো নোন দিয়া শশা খাইতে যে ভালা লাগে,Sylhet
শশা খেতে অনেক সুস্বাদু,শশা খাইতে বহুত সুস্বাদু,Sylhet
আব্বু আজকে সকালে বাজার থেকে টমেটো কিনে এনেছে,আব্বা আইজকে বিয়ানে বাজার থাকি টমেটো কিনিয়া আনছইন,Sylhet
দিন দিন টমেটোর দাম বেড়ে চলছে,দিন দিন টমেটোর দাম বাড়িয়া চলছে,Sylhet
আমার সরিষার তেল দিয়ে মাছ ভাজা খেতে খুব ভালো লাগে,আমার সরিষার তেল দিয়া মাছ ভাজা খাইতে খুব ভালা লাগে,Sylhet
আমার দাদা চুলে সরিষার তেল দেয়,আমার দাদা চুলো সরিষার তেল দেইন,Sylhet
আমার নানা বলেছে সরিষার তেল চুল পড়া কমায়,আমার নানা কইছইন সরিষার তেল চুল ফড়া কমায়,Sylhet
এক কৃষক বাজারে টমেটো বিক্রি করে,এক কৃষক বাজারে টমেটো বেছইন,Sylhet
আমার আব্বু গায়ে সরিষার তেল মালিশ  করে,আমার আব্বা গতরো সরিষার তেল মালিশ করইন,Sylhet
দিন দিন আমি খুব অসুস্থ হয়ে যাচ্ছি ,দিন দিন মুই খুব অসুস্থ অই যাইরাম,Sylhet
যেখানে সেখানে থুথু ফেলা একদম নিষেধ,যেখানে সেখানে সেব ফালালি একবারে নিষেদ,Sylhet
আমার আম্মু বলেছে প্রতিদিন তেতুল খেলে আমার শরীরের রক্ত পানি হয়ে যাবে,আমার আম্মা কইছইন প্রতিদিন তেতুল খাইলে আমার শরীরের রক্ত ফানি অই যাইবো,Sylhet
আমার ছোট ভাইয়ের প্রিয় ফল হলো জামরুল,আমার ছোট ভাইয়ের প্রিয় ফল অইলো জামির,Sylhet
শিশুটির কিছু দিন ধরে সর্দি কাশি,শিশুটার কিছুদিন ধরিয়া সর্দি কাশি,Sylhet
আমাদের গ্রামের বাজারে অনেক বড় একটি  দেশী মুরগীর দোকান আছে,আমাদের গেরামের বাজারে বহুত বড় একটা দেশি মোরগির দোকান আছে,Sylhet
সকালে ঘুম থেকে উঠে নারিকেল পানি খেতে আমার খুব ভালো লাগে,বিয়ানে ঘুম থাকি উঠিয়া নাইকল ফানি খাইতে আমার খুব ভালা লাগে,Sylhet
আমি আজকে শিম ভাজি  দিয়ে দুপুরে ভাত খেয়েছি,আমি আইজকে উরি ভাজি দিয়া মাধানে ভাত খাইছি,Sylhet
মা আমার জন্য শিম ভাজি রান্না করছে,মা আমার লাগি উরি ভাজি রান্দা করছইন,Sylhet
আম্মু রান্নাঘরে বসে মাটির পাতিলে মুরগির মাংস রান্না করছে,আম্মা রান্দাঘরো বইসা মাটির পাতিলো মুরগির মাংস রান্দা করছইন,Sylhet
অনেক মানুষই শখের বশে ছাদের উপর কবুতর পালন করে,বহুত মানুষই শখের বশে ছাদের উপর কইতর ফালে,Sylhet
দুইদিন ধরে আমার অনেক সর্দি-জ্বর,দুইদিন ধরিয়া আমার অনেক সর্দি- তাফ,Sylhet
সকালে ঘুম থেকে উঠেই ঘরের স্টোররুমটি পরিষ্কার করতে হবে,বিয়ানে ঘুম থাকি উঠিয়া ঘরের স্টোররুমটা পরিষ্কার করতো অইবো,Sylhet
লবণ দিয়ে পেয়ারা খেতে আমার ছোট বোন খুব পছন্দ করে,নোন দিয়া সফরি খাইতে আমার ছোট বোইন খুব ফছন্দ করইন,Sylhet
মা রান্নাঘরে বসে আমার বাবার জন্য শিমের তরকারি রান্না করছে,আম্মা রান্দাঘরো বইয়া আমার বাবার লাগি উরির তরকারি রান্দা করছইন,Sylhet
আমি আর আব্বু গতকাল সিলেট থেকে ঢাকায় এসেছি,আমি আর আব্বা গতকাইল সিলেট থাকি ডাকাত আইছি,Sylhet
আম্মু লাকড়ির চুলায় রান্না করছে,আম্মা লাকড়ির চুলাত রান্দা করছইন,Sylhet
আমার বড় বোনটি কাঁচা আমের শরবত খেতে খুব ভালবাসে,আমার বড় বোইনটা কাচা আমর শরবত খাইতে খুব ভালাফায়,Sylhet
এই বকা ছেলেটি দুইদিন ধরে পড়ালেখা করছে না,এই ফুঙ্গা ফুয়াটা দুইদিন ধরিয়া ফড়ালেখা করছইন না,Sylhet
"বিকালে আম্মু আমার জন্য শসার সুপ রান্না করেছে 
",বিকালে আম্মা আমার লাগি শসার সুপ রান্দা করছইন,Sylhet
আমার স্কুলে কোনো খেলার মাঠ নেই ,আমার স্কুলে কোনতা খেলার মাঠ নাই ,Sylhet
আমরা সবাই একসাথে খেলা দেখছিলাম ,আমরা সবাই একসাথে খেল দেখছিলাম,Sylhet
বিশ্বকাপ ক্রিকেট খেলা আজকে থেকে শুরু ,বিশ্বকাপ ক্রিকেট খেলা আইজকে থাকি শুরু,Sylhet
আজকে ইংল্যান্ড বিশ্বকাপ ক্রিকেট খেলায়  জিতে গেছে ,আজকে ইংল্যান্ড বিশ্বকাপ ক্রিকেট খেলাত জিতি গেছে,Sylhet
চল আমরা সবাই গান গাই ,চলো আমরা সবাই গান গাই,Sylhet
তুমি কি আমাকে এক গ্লাস পানি এনে দিতে পারবে ?,তুমি কি আমারে এক গ্লাস ফানি এনে দিতায় ফারবা? ,Sylhet
আমি পারবো না পানি দিতে ,আমি পারবো না ফানি দিতে,Sylhet
তোমার ভাই পড়ালেখাতে অনেক মেধাবি ,তোমার ভাই ফড়ালেখাতে বহুত মেধাবি,Sylhet
আচ্ছা বলো দেখি বাংলাদেশে কয়টি জেলা? ,আইচ্চা কও দেখি বাঙলাদেশো কয়টা জেলা?,Sylhet
সামনের দিকে যেয়ে মেয়েটি অনেক হাসবে,সামনর দিকে যাইয়া ফুড়িটা বহুত হাসবো,Sylhet
